,id,experiences_offered,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,latitude,longitude,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,AMN_24-hour check-in,AMN_air conditioning,AMN_breakfast,AMN_buzzer/wireless intercom,AMN_cable tv,AMN_carbon monoxide detector,AMN_cat(s),AMN_dog(s),AMN_doorman,AMN_dryer,AMN_elevator in building,AMN_essentials,AMN_family/kid friendly,AMN_fire extinguisher,AMN_first aid kit,AMN_free parking on premises,AMN_gym,AMN_hair dryer,AMN_hangers,AMN_heating,AMN_hot tub,AMN_indoor fireplace,AMN_internet,AMN_iron,AMN_kitchen,AMN_laptop friendly workspace,AMN_lock on bedroom door,AMN_other pet(s),AMN_pets allowed,AMN_pets live on this property,AMN_pool,AMN_safety card,AMN_shampoo,AMN_smoke detector,AMN_smoking allowed,AMN_suitable for events,AMN_translation missing: en.hosting_amenity_49,AMN_translation missing: en.hosting_amenity_50,AMN_tv,AMN_washer,AMN_wheelchair accessible,AMN_wireless internet,BED=Airbed,BED=Couch,BED=Futon,BED=Pull-out Sofa,BED=Real Bed,POPTY=Apartment,POPTY=Bed & Breakfast,POPTY=Bungalow,POPTY=Cabin,POPTY=Camper/RV,POPTY=Chalet,POPTY=Condominium,POPTY=Dorm,POPTY=Earth House,POPTY=House,POPTY=Loft,POPTY=Other,POPTY=Tent,POPTY=Townhouse,POPTY=Treehouse,POPTY=Villa,POPTY=Yurt
10,11392366,none,2011-10-21,94%,78%,f,1,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",t,,35.5759158338,-82.5717373178,t,2,1,1.0,1.0,1.0,,$45.00,,,,,1,$0.00,1,7,27,57,87,87,9,2016-03-07,2016-04-17,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,1,f,f,5.63,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,3781780,none,2014-08-03,70%,100%,f,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,,35.5758864819,-82.5896747024,t,2,2,1.0,1.0,1.0,,$45.00,,,$120.00,$30.00,1,$0.00,2,1125,30,60,90,365,40,2014-08-18,2016-04-10,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,f,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,7132603,none,2014-03-24,100%,100%,t,1,1,"['email', 'phone', 'reviews', 'jumio']",t,,35.5907956908,-82.5876604149,t,2,2,1.0,1.0,1.0,,$80.00,,,,,1,$0.00,1,1125,28,58,88,363,21,2015-07-05,2016-04-17,95.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,2,f,f,2.14,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,12245300,none,2013-10-30,100%,100%,f,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,,35.580663258,-82.5724725341,t,2,2,1.0,1.0,1.0,,$60.00,,,,,1,$0.00,1,1125,24,48,73,156,0,,,,,,,,,,f,f,3,f,f,,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,10700627,none,2015-10-30,100%,,f,1,1,"['email', 'phone', 'google', 'kba']",t,,35.581571684,-82.5705799827,t,2,2,1.0,1.0,1.0,,$57.00,,,$100.00,$60.00,2,$10.00,1,1125,0,0,0,0,0,,,,,,,,,,f,f,3,f,f,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,3645277,none,2013-08-19,100%,95%,f,2,2,"['email', 'phone', 'google', 'reviews', 'kba']",t,,35.5744657823,-82.5738387488,t,2,4,1.0,1.0,2.0,,$85.00,,,$95.00,$60.00,2,$35.00,1,13,18,44,67,334,30,2014-07-28,2016-02-15,93.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,2,f,f,1.41,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,9691595,none,2012-05-13,100%,87%,t,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,,35.582172999,-82.589810443,t,2,2,1.0,1.0,1.0,,$50.00,,,$200.00,$25.00,1,$10.00,1,1125,14,38,64,339,0,,,,,,,,,,f,f,1,f,f,,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,1493307,none,2013-08-06,100%,94%,t,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,,35.5733327135,-82.5744066009,t,2,2,1.0,1.0,1.0,,$58.00,$330.00,,,,2,$28.00,2,1125,0,3,33,308,29,2014-05-25,2015-08-18,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,2,f,f,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,4937473,none,2014-07-29,100%,40%,f,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,,35.5862719476,-82.5765590483,t,2,1,1.5,1.0,1.0,,$110.00,$630.00,"$1,900.00",$100.00,$25.00,1,$0.00,1,365,30,60,90,365,2,2015-01-04,2015-03-12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,f,0.13,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,7712679,none,2011-08-08,100%,99%,f,6,6,"['email', 'phone', 'reviews', 'kba']",t,,35.5828804048,-82.5908485262,t,3,1,1.0,0.0,1.0,,$65.00,,"$1,075.00",$300.00,$45.00,0,$0.00,7,1125,30,60,90,180,5,2015-09-14,2016-04-05,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,3,f,t,0.68,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6054250,none,2012-02-28,100%,100%,t,1,1,"['email', 'phone', 'manual_online', 'facebook', 'reviews', 'manual_offline']",t,,35.5751723624,-82.5782665443,t,3,2,1.0,1.0,1.0,,$111.00,$675.00,"$2,200.00",,$20.00,2,$0.00,1,30,5,16,38,198,102,2015-04-25,2016-04-18,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,f,f,8.38,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,6177422,none,2015-04-27,100%,100%,t,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,,35.5874124859,-82.5769546282,t,3,4,1.0,2.0,2.0,,$125.00,$700.00,"$2,000.00",$250.00,$75.00,0,$0.00,3,30,10,25,38,279,46,2015-05-17,2016-04-18,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,f,f,4.02,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,612660,none,2012-07-24,100%,96%,t,3,3,"['email', 'phone', 'reviews', 'kba']",t,,35.5790126829,-82.5888683672,t,3,2,2.0,1.0,1.0,,$105.00,,"$2,500.00",$250.00,$30.00,1,$0.00,3,90,7,23,36,289,52,2012-08-20,2016-02-12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,t,t,1.16,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,4764715,none,2012-09-01,100%,100%,t,1,1,"['email', 'phone', 'reviews', 'kba']",t,,35.5733856622,-82.5734011316,t,3,2,1.0,1.0,1.0,,$88.00,$575.00,"$1,800.00",$125.00,$25.00,2,$45.00,2,1125,7,19,35,301,99,2015-01-03,2016-04-17,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,2,f,f,6.24,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,11284356,none,2016-02-16,100%,100%,f,1,1,"['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'kba']",t,,35.5705027773,-82.5706664926,t,3,2,1.0,1.0,1.0,,$175.00,,,,$40.00,2,$0.00,2,7,6,15,15,15,7,2016-03-02,2016-04-18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,f,3.96,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,8282917,none,2014-02-08,100%,100%,t,1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,,35.5820397158,-82.5733011749,t,3,2,1.0,1.0,1.0,,$96.00,$600.00,,$100.00,$30.00,2,$20.00,2,1125,11,24,40,312,36,2015-09-21,2016-04-12,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,f,5.0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,1785262,none,2013-03-21,100%,96%,t,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,,35.5871321029,-82.5752123799,t,3,2,1.0,1.0,1.0,,$85.00,$500.00,"$1,675.00",,$22.00,0,$0.00,2,6,15,38,68,68,111,2013-11-05,2016-04-17,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,t,3.7,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,11653712,none,2014-09-12,100%,78%,f,1,1,"['email', 'phone', 'reviews', 'kba']",t,,35.57907032,-82.5877259188,t,3,3,1.5,1.0,2.0,,$80.00,,,,$25.00,1,$0.00,1,1125,0,6,27,296,1,2016-04-11,2016-04-11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,f,1.0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,5131525,none,2011-08-08,100%,99%,f,6,6,"['email', 'phone', 'reviews', 'kba']",t,,35.5786779403,-82.5875088928,f,3,2,1.0,1.0,1.0,,$101.00,,"$1,700.00",$200.00,$50.00,2,$50.00,3,1125,21,44,71,161,12,2015-04-01,2016-04-04,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,3,f,t,0.93,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5354494,none,2015-02-14,100%,100%,f,1,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,,35.5747242128,-82.5900597549,t,3,4,1.0,2.0,2.0,,$99.00,$644.00,"$1,967.00",$200.00,$50.00,1,$0.00,2,1125,12,31,51,51,46,2015-02-23,2016-02-01,91.0,10.0,10.0,10.0,10.0,9.0,9.0,f,t,2,f,f,3.26,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,12250733,none,2013-06-06,100%,99%,t,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,,35.5692058406,-82.5735840013,t,3,7,2.5,3.0,3.0,,$145.00,,,,$95.00,4,$20.00,1,1125,11,31,52,52,2,2016-04-17,2016-04-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,f,2.0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,3741771,none,2012-05-16,100%,100%,f,2,2,"['email', 'phone', 'google', 'linkedin', 'reviews', 'kba']",t,,35.5796485251,-82.5817241744,t,3,4,1.0,1.0,2.0,,$115.00,$800.00,"$2,000.00",$200.00,$75.00,2,$15.00,1,1125,4,18,24,271,127,2014-08-31,2016-04-17,96.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,3,f,f,6.33,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9756931,none,2015-05-24,,,f,1,1,"['email', 'phone', 'reviews', 'kba']",t,,35.575729768,-82.5863229249,t,3,4,2.0,2.0,2.0,,$125.00,,,,$30.00,4,$10.00,2,27,3,3,3,113,1,2015-12-27,2015-12-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,2,f,f,0.26,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,6480745,none,2013-04-24,98%,99%,f,3,3,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,,35.5729839934,-82.5899030991,t,3,6,1.0,2.0,3.0,,$99.00,,,$300.00,$50.00,2,$20.00,2,1125,5,5,32,307,38,2015-06-08,2016-04-05,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,3,f,f,3.57,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,4662490,none,2014-07-14,100%,100%,f,1,1,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,,35.5820528627,-82.5924558798,t,3,3,2.5,2.0,1.0,,$99.00,$600.00,,,,3,$25.00,2,1125,1,1,1,1,6,2014-12-24,2016-04-18,88.0,9.0,8.0,10.0,10.0,10.0,9.0,f,f,1,f,f,0.37,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4830661,none,2013-10-16,100%,83%,f,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']",t,,35.5801386124,-82.5774198337,t,3,4,1.0,1.0,2.0,,$120.00,$780.00,"$2,668.00",$250.00,$30.00,4,$20.00,2,30,3,3,3,4,40,2014-12-30,2016-04-12,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,3,f,f,2.51,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,8895397,none,2012-06-17,100%,85%,t,1,1,"['email', 'phone', 'reviews']",f,,35.5839444797,-82.5924267539,f,3,4,1.5,2.0,2.0,,$135.00,,,,$25.00,4,$15.00,2,1125,18,37,67,342,21,2015-10-16,2016-03-26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,2,f,f,3.28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,1332684,none,2012-07-01,100%,100%,f,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,,35.5833995724,-82.5912609576,t,3,3,1.0,1.0,1.0,,$90.00,$500.00,"$1,785.00",$100.00,$30.00,2,$20.00,2,31,17,41,56,324,176,2013-08-18,2016-04-11,93.0,10.0,10.0,10.0,10.0,9.0,9.0,f,t,3,f,f,5.4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
